,id,WD-ABX_1.5,WD-ABX_4.0,WD-ABX_6.0,WD-ABX_12.5
587,rxn10293_c1,0.0,0.0,0.0,0.0
588,rxn03047_c1,0.0,0.0,0.0,0.0
589,rxn00559_c1,0.0,0.0,0.07116567368363091,0.0
590,rxn01109_c1,0.0,0.0,0.0,0.0
591,rxn08848_c1,0.0,0.0,0.0,0.0
592,rxn05294_c1,0.055781058380668616,0.05478737575337243,0.05844886599742167,0.013755033120457788
593,rxn10194_c1,0.009040936785698561,0.00887988172365361,0.009473332310625143,0.0022294016739264
594,rxn08840_c1,0.0,0.0,0.0,0.0
595,rxn05559_c1,-0.057236085999613266,0.0,0.1320383960607339,0.0
596,rxn03907_c1,0.0,0.0,0.0,0.0
597,rxn01987_c1,-0.20508842022334803,-0.2045214241745424,-0.206611206321659,0.0
598,rxn02834_c1,0.2743100052371646,0.41622927285785594,0.25465230738797806,0.05992846674693656
599,rxn00459_c1,92.1781630929494,88.56142908879869,102.70706610895515,-1.192455677776859
600,rxn00770_c1,1.061806168853701,1.2286457991636368,1.1213633704236796,0.3526354690550899
601,rxn01314_c1,0.0,0.0,0.0,0.0
602,rxn02318_c1,0.024219432980135045,0.08647472807630749,0.039394269073117556,0.0
603,rxn08806_c1,0.0,0.0,0.0,0.0
604,rxn05436_c1,0.0,0.0,0.0,0.0
605,rxn14040_c1,0.009040936785698561,0.00887988172365361,0.009473332310625143,0.0022294016739264
606,rxn05209_c1,-1.210729583406407,-1.2063176652970307,-1.2225787093006644,-0.0845479076238754
607,rxn01366_c1,0.02924808897627885,0.028305221414890225,0.030196885153865618,-0.04779877279466063
608,rxn01361_c1,0.22308739946241396,0.2186914824088057,0.23330683345064074,0.0
609,rxn01143_c1,0.0,0.0,0.0,0.0
610,rxn01647_c1,0.0,0.0,0.0,0.0
611,rxn05618_c1,0.02004235706924603,0.01968532293242731,0.021000911001337594,0.0049422383386519015
612,rxn00260_c1,0.3905109327860943,0.11928329125664616,0.37678746361361964,0.5099235591976775
613,rxn05504_c1,0.0,0.0,0.0,0.0
614,rxn00461_c1,0.009040936785698561,0.00887988172365361,0.00947333231062514,0.002229401673926401
615,rxn05613_c1,0.0,0.0,0.0,0.0
616,rxn00817_c1,0.16405547887989222,0.25593295076534905,0.21038005822326428,0.0
617,rxn05247_c1,0.0,0.0,0.0,0.0
618,rxn10303_c1,0.0,0.0,0.0,0.0
619,rxn03136_c1,0.38275205642900717,0.375933719164081,0.40105771216803693,0.0943827056341486
620,rxn00222_c1,0.0,0.0,0.0,0.0
621,rxn00621_c1,0.0,0.0,0.0,0.0
622,rxn05287_c1,0.0,0.0,0.0,0.0
623,rxn01387_c1,0.0,0.0,0.0,0.0
624,rxn00818_c1,0.035306873780115156,0.0,0.019424569463350916,0.0
625,rxn02937_c1,0.38275205642900717,0.375933719164081,0.40105771216803693,0.09438270563414862
626,rxn08810_c1,0.0,0.0,0.0,0.0
627,rxn01652_c1,0.0,0.0,0.0,0.0
628,rxn03137_c1,0.6570620616661718,0.792162992021937,0.655710019556015,0.15431117238108516
629,rxn01115_c1,0.0,0.0,0.0,0.0
630,rxn05462_c1,0.6164916085215294,0.6055094396806093,0.6459761872768163,0.15202046608417705
631,rxn08818_c1,0.0,0.0,0.0,0.0
632,rxn01128_c1,-0.19079068211617312,-0.18739194082704977,-99.91098427630966,-0.047047012512262426
633,rxn05239_c1,0.10737876432458066,0.08743239021377569,0.16267540831399036,0.014978815835131668
634,rxn08312_c1,0.0,0.0,0.0,0.0
635,rxn00952_c1,0.07962652832811809,0.07346732419058133,0.10314905073882435,0.0
636,rxn01961_c1,0.0,0.0,0.0,0.0
637,rxn01517_c1,0.0,0.0,0.0,0.0
638,rxn09978_c1,0.0,0.0,0.0,0.0
639,rxn08040_c1,0.027122810357095684,0.026639645170960832,0.028419996931875427,0.006688205021779201
640,rxn04662_c1,-0.2750225120487134,-0.27120308745449706,-0.2940155507242408,-0.25744057858568525
641,rxn02021_c1,0.0,0.0,0.0,0.0
642,rxn03141_c1,0.0,0.0,0.0,0.0
643,rxn01807_c1,0.0,0.0,0.0,0.0
644,rxn05331_c1,0.18344312621988484,0.11835299299735898,0.13288362035776607,0.0
645,rxn01800_c1,0.0,0.0,0.0,0.0
646,rxn00533_c1,2.233749887313602,2.510826933720939,2.2422426612555744,0.4155408535635289
647,rxn08309_c1,0.0,0.0,0.0,0.0
648,rxn02476_c1,0.2750225120487134,0.27120308745449706,0.2940155507242408,0.05467914540266851
649,rxn03841_c1,0.0,0.0,0.0,0.0
650,rxn04954_c1,-0.16804873548118476,-0.1517623265501855,-0.2065327345845292,-0.034595668370563305
651,rxn05517_c1,0.0,0.0,0.0,0.0
652,rxn00676_c1,0.0,0.0,0.0,0.0
653,rxn00713_c1,0.0,0.0,0.0,0.0
654,rxn01257_c1,0.0,0.0,0.0,0.0
655,rxn00903_c1,0.1814974551140105,0.2109178213509706,0.15262538219067745,0.009884476677303411
656,rxn00056_c1,0.0,0.0,0.0,0.0
657,rxn00016_c1,0.0,0.0,0.0,0.0
658,rxn01648_c1,100.0,100.0,100.0,61.45874968880755
659,rxn02213_c1,0.2750225120487134,0.27120308745449706,0.2940155507242408,0.05467914540266851
660,rxn05441_c1,0.0,0.0,0.0,0.0
661,rxn03892_c1,0.0,0.0,0.0,0.0
662,rxn08668_c1,0.0,0.0,0.0,0.0
663,rxn01127_c1,0.0,0.0,0.0,0.007106368076403816
664,rxn05226_c1,0.4415593887433398,0.44222463351276353,0.43977273522258503,0.0
665,rxn08548_c1,0.0,0.0,0.0,0.0
666,rxn00615_c1,0.06802051427949261,0.06680879823642255,0.07537927592059192,0.0
667,rxn02521_c1,0.0,0.0,0.0,0.0
668,rxn05445_c1,0.0,0.0,0.0,0.0
669,rxn05341_c1,-0.24623146460173967,-0.3409275011405016,-0.28506699309077826,0.0
670,rxn08124_c1,0.0,0.0,0.0,0.0
671,rxn05449_c1,0.0,0.0,0.0,0.0
672,rxn07438_c1,0.0,0.0,0.0,0.0
673,rxn00743_c1,0.0,0.0,0.0,0.0
674,rxn01775_c1,0.0,0.0,0.0,0.0
675,rxn03483_c1,0.0,0.0,0.0,0.0
676,rxn02483_c1,0.0,0.0,0.0,0.0
677,rxn10191_c1,0.009040936785698561,0.008879881723653614,0.009473332310625143,0.0022294016739264
678,rxn01265_c1,-0.02004235706924603,-0.001312156833279874,0.00168366333415719,-0.15847186628729193
679,rxn00874_c1,0.0,0.0,0.0,0.0
680,rxn00834_c1,0.1419297297681628,0.13940139647973224,0.14871771882952028,0.03499840609720671
681,rxn01187_c1,0.0,0.0,0.0,0.0
682,rxn06677_c1,0.0,0.0,0.0,0.0
683,rxn00704_c1,0.0,0.0,0.0,0.0
684,rxn05252_c1,0.0,0.0,0.0,0.0
685,rxn01671_c1,0.0,0.0,0.0,0.0
686,rxn02322_c1,0.5804668743045887,0.5701264493384451,0.6082285194489789,0.14313713854083604
687,rxn00241_c1,0.0,0.0,0.0,0.0
688,rxn12642_c1,0.0,0.0,0.0,0.0
689,rxn08130_c1,0.02004235706924601,0.01968532293242731,0.021000911001337608,0.0049422383386519015
690,rxn10295_c1,0.0,0.0,0.0,0.0
691,rxn11702_c1,0.04008471413849204,0.03937064586485462,0.0420018220026752,0.009884476677303803
692,rxn01332_c1,0.2750225120487134,0.27120308745449706,0.2940155507242408,0.05467914540266851
693,rxn08433_c1,0.01430996390466266,0.14683808520308603,0.1521833727330122,0.0
694,rxn01510_c1,-99.964127877684,-0.02830522141489023,-0.030196885153865618,-0.007106368076403812
695,rxn00785_c1,12.768627012367682,12.937197670042757,8.936761320888278,7.179947190349733
696,rxn03909_c1,0.0,0.0,0.0,0.0
697,rxn01101_c1,0.23648904135046678,0.263434590628285,0.6628758090368938,0.2667228946432263
698,rxn00355_c1,0.0,0.0,0.0,0.0
699,rxn03084_c1,0.38275205642900717,0.375933719164081,0.40105771216803693,0.09438270563414862
700,rxn00216_c1,0.379163289782615,0.44630053156817007,0.3989207184164754,-0.04795806632010598
701,rxn02005_c1,0.0,0.0,0.0,0.0
702,rxn08808_c1,0.0,0.0,0.0,0.0
703,rxn00558_c1,-0.3514276009252401,-0.23732156307646524,-0.026459996471577873,-0.3344621117503368
704,rxn12635_c1,0.0,0.0,0.0,0.0
705,rxn01859_c1,0.0,0.0,0.0,-0.007106368076403816
706,rxn00194_c1,0.0,0.0,0.0,0.0
707,rxn00806_c1,0.18917115491472525,0.11776761727242024,0.09612571357093591,0.0
708,rxn05328_c1,0.0,0.0,0.0,0.0
